origin,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
DE111,-0.2721144405050183,-0.5056876149689483,-0.34628538655291163,-0.25822959043988547,-0.35045767378603665,-0.16235437320392998,-0.2588087150163838,-0.2504645751576209,-0.14250232651286354,-0.1543152366680146,-0.09081790620900065,-0.08418908738580377,-0.09343631170974764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.34797705189885986,-0.34120937927202355
DE112,-0.12519937132545544,-0.4278004521151427,-0.2203787346116719,-0.1261017162161555,-0.25196156705117967,0.006990875845000133,-0.08835606607801516,-0.09959136154607373,0.025799881184757734,-0.00493975760031462,0.0316701800897381,0.03040773063898916,0.06568969429595195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.23007466857723624,-0.2360265440363234
DE113,-0.11268113787293088,-0.3669850459433931,-0.20920552990115637,-0.12455293439573856,-0.25425024742391633,0.011103740868194878,-0.07159428629266529,-0.07369689761125975,0.04100913023411312,0.011003829078095384,0.02505972902315734,0.043578416560336564,0.08001086245197597,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.20066356535273921,-0.16091188423034986
DE114,-0.06752543877357609,-0.3529393088166731,-0.17654937718847685,-0.13645287263620354,-0.3263795623433805,0.02913916344608225,-0.06781426652054656,-0.04232937952970439,0.049602037354847583,0.012800174547834775,-0.026389979554442444,0.0006589703189736618,0.08280720954889009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.16598095485756392,-0.16707684104599863
DE115,-0.10272925108097763,-0.3613167204294987,-0.19084931401498706,-0.1384288239796263,-0.2291757214269342,0.00762007063163872,-0.0939346203984166,-0.0958321867220836,0.03658108460089049,-0.001756820195501274,0.029025056534806692,0.039874346021896656,0.0868170795556642,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.21522632469914593,-0.21063881271172769
DE116,-0.14025351424416654,-0.3748042565402767,-0.25060105848488556,-0.21179197500128766,-0.3780479634649151,-0.0789082893311297,-0.153900841945376,-0.13942692303145188,-0.027929112117339727,-0.06166072896684027,-0.05032021015400989,-0.045163595557056735,0.019615090126368973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2462128300870462,-0.23262385075250347
DE117,-0.23836804856875116,-0.49431199860214037,-0.2882520654185028,-0.282464222266929,-0.36886649495902,-0.10126744250903086,-0.19066150096569479,-0.19965045217001365,-0.12197551906269832,-0.14201271422729467,-0.15411448192614974,-0.14567470314750441,-0.03436498275845101,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3115659201692266,-0.30561576184754424
DE118,-0.04754460815642647,-0.31396737616598613,-0.15721828018244255,-0.10667691223250986,-0.23861678855500534,0.07722998328834763,-0.03857202092211165,-0.05655507327557485,0.07550359052400579,0.027126456015325706,0.05075487937510115,0.04656165048099359,0.12630857064968137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.18029334918644557,-0.17674848427270995
DE119,-0.02565747030473231,-0.33068158663315905,-0.13224676890730325,-0.08332065844025216,-0.22594519467347818,0.0697549884561024,0.008815399267512625,-0.027498007665743285,0.13164351694627463,0.0874404798713746,0.06818438289625406,0.13124103951067112,0.19593900608359016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.08315201821152307,-0.09825813062122879
DE11A,-0.08303087283540322,-0.37884922985185276,-0.1902130217802276,-0.17325789094136568,-0.3521977798087166,0.016794977593465044,-0.06303758996213882,-0.06009489242609756,0.06417028271669101,-0.01335822571182299,-0.053794863260664516,0.006717621240256877,0.1111092540556351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1525278571455111,-0.15867150603463354
