origin,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28
DE111,-0.3263067223960918,-0.3137660029723489,-0.33370000030669167,-0.25498924205395324,-0.21912735462335253,-0.28632325504819833,-0.28709380373437077,-0.3229514719213116,-0.6457126743866681,-0.36843590296683326,-0.3259067328052636,-0.2502811920065241,-0.3008673075285112,-0.2568598154807886,-0.21616590852225415,-0.31779300379848385,-0.21468424509298323,-0.2175040211698437,-0.5508723087444283,-0.31130795601562644,-0.23648845559358533,-0.2982433183582778,-0.051903516147896456,-0.17046577540342667,-0.1682919827832936,-0.06362106345518659,-0.1090183987854082,-0.07845728995638301,-0.0646936404423808,0.01898013512745611,-0.14150809497992234,-0.18588404102083755,-0.06860804066408954,-0.12644251451651334,-0.12348020631761336,-0.16193443609111235,-0.007286855607257059,-0.16034716069626087,-0.18089697999587961,-0.06773985459095822,-0.1346182438158714,-0.06440146118188705,-0.08353655569791762,0.008137785984176915
DE112,-0.2660508832562527,-0.24675091854009412,-0.24845007213837023,-0.1568889514162446,-0.11427108477799719,-0.19090039425681316,-0.16065971611166907,-0.2481057696311474,-0.6068653017321042,-0.29257923858596324,-0.25457377837178763,-0.16190630185294264,-0.23148790200468128,-0.1869114625820245,-0.13247766911668635,-0.24727764676311637,-0.11264814653151123,-0.11284634305143604,-0.5244182163097784,-0.21955982035761112,-0.16473238896881848,-0.25286825872669705,0.037288431053173365,-0.06692851034176939,-0.0639649497214787,0.04171618347864858,-0.03928669945853136,-0.02033806860200893,0.0012946687213399866,0.08728053211598907,-0.057495648600019655,-0.09590899225927807,0.026936580619020933,-0.0511729755362772,-0.06723344784929619,-0.11260000785781588,0.059746834523621395,-0.08100286539592139,-0.11582447129180828,0.0008425628150074971,-0.08369209120973464,-0.04570918099796972,-0.04207610980736498,0.059098576920213475
DE113,-0.15822888786107303,-0.14927253499049442,-0.1602772933730967,-0.07897033059672831,-0.028720290017919092,-0.12112683334936514,-0.10002770159330021,-0.16766120492037373,-0.5319359937607708,-0.21011126138743463,-0.18329156091010101,-0.09749900942085121,-0.13689298105695513,-0.09487043542868678,-0.06525434652391815,-0.15772710029846304,-0.056701405014088935,-0.06253369023338173,-0.46188644789549294,-0.18388470739249663,-0.1286583004709385,-0.24854312078704588,0.07854520723053482,-0.01647162122408996,0.005662844881219931,0.09677101325443638,0.03152459303343247,0.023517280225380466,0.06154406409322655,0.14548064264136307,0.019630775020047064,-0.015436042518661597,0.09233901380601983,0.006594317054670729,-0.021342448311831075,-0.05731509436071447,0.12239220570641929,-0.005732051314596864,-0.01768917607107523,0.07850689688835355,-0.029366940895034666,0.014218620729913312,0.019327457948923765,0.16020283299737237
DE114,-0.22027435521816274,-0.18280658237541514,-0.18525111128599248,-0.11825153469369187,-0.08336915407179069,-0.16770983250881188,-0.12642947082943212,-0.18650617966130956,-0.5264959754950516,-0.20281669115457723,-0.2070223737560658,-0.13209405536635976,-0.15757530616216686,-0.11665644270816522,-0.04651978646067423,-0.12483373425781796,-0.019510253383479337,-0.00754948459032645,-0.4269212902303643,-0.16142220558638898,-0.12766801741966938,-0.31475525008661287,0.10654733610719647,-0.0003129546764761848,0.051239920422371465,0.12046180050980304,0.04241654222741209,0.005858120491651686,0.0577328581451253,0.17278186923755046,0.03719768303730753,-0.01269392384711343,0.09910784477213719,0.00591377512893132,-0.04391236359356343,-0.07079184845703768,0.14042629823286612,0.014118648255414978,-0.0016351111309440558,0.10477166067132004,-0.04469401123182337,-0.021556000201772285,0.0010702350174334185,0.13997399241550146
DE115,-0.18035398194446406,-0.16165170513404592,-0.15818347645497455,-0.06433658150480437,-0.012156725352439501,-0.11516058605628543,-0.12132349135769505,-0.18127629239254983,-0.5391658275508268,-0.1995516411919428,-0.16370877673866846,-0.082751348040353,-0.14334485249548146,-0.11584832430977743,-0.07677126902265297,-0.15073477565830096,-0.05344505500260588,-0.06311346834919807,-0.4667733856313857,-0.18864780729775898,-0.16676903907408547,-0.22497604585776798,0.07614383478557518,-0.0175223052205129,-0.016083950976791384,0.09034280793270777,0.004475558419696268,-0.008312639482405126,0.02623319278838787,0.15565796255804187,0.01220534419410324,-0.04892314227762318,0.09086488336149934,-0.015368281883158974,-0.04914899280175733,-0.0770390373894283,0.1337939750757724,-0.018806392922344095,-0.05416258017231579,0.07950511445701536,-0.03830849713330431,-0.006471398611830104,-0.013062083685394632,0.13339458484655653
DE116,-0.2079067150250985,-0.15220382764504214,-0.1614502179359577,-0.08455641049184015,-0.03142737266798734,-0.12034361987360187,-0.1133521033330569,-0.20561804638621006,-0.4864056796631926,-0.19597204585235262,-0.18385704348859055,-0.09921492234860008,-0.1470602914368243,-0.1125637466775059,-0.07942259586724831,-0.1397676789553477,-0.03910891071247524,-0.031459078515368444,-0.40029775492170006,-0.1733273925412535,-0.14537981422695267,-0.2882893679873546,0.06211416078618126,-0.01487181318933084,0.038499551973049106,0.11555800417537831,0.021181156117318745,0.005217210480677359,0.04375974042800501,0.15378209013377186,0.04133360321169688,-0.008833630095104739,0.11496218481542764,0.01289457121399229,-0.030602213093743336,-0.09437387325690305,0.128668989999567,0.012198285550791832,-0.015111251577184182,0.08997336610081885,-0.03754521368742092,-0.01673220206842274,-0.008715947833876858,0.1429423351660244
DE117,-0.3045858075032074,-0.19443911769632038,-0.18789643303133963,-0.08100608520512953,-0.059592296644263354,-0.15677843734959085,-0.21371639457700098,-0.27782295590713435,-0.6076493991023553,-0.2189212422659077,-0.17576612832175353,-0.11138046229656495,-0.1885163199458082,-0.17490746266470913,-0.19811094127297935,-0.17583689955748893,-0.071345708802947,-0.07078760663199457,-0.5271583026446339,-0.18878574258181835,-0.19704743352508358,-0.26127379971785913,0.12566185091335424,-0.020116561034464353,-0.0037230508396911555,0.05566290249341477,-0.009991456622072459,-0.051293932585639745,-0.051971987893821625,0.17503592904958198,-0.00033399143479950766,-0.057648101053146106,0.06381299868028845,-0.031648681026541725,-0.1178679250843162,-0.15547886626081298,0.15616372300593784,-0.009748992590923766,-0.032029692762389206,0.0838139132265725,-0.019327125463561745,-0.04791518687766305,-0.0695979019323808,0.17847282629250039
DE118,-0.2328039161394746,-0.18272622057076726,-0.17454894521201703,-0.08011807232181889,-0.04390540672983345,-0.12514169750449844,-0.10974308314283676,-0.19043826378169482,-0.49019736240977063,-0.20672131537101246,-0.18770271220218304,-0.11362831340171642,-0.14387616947473036,-0.07672769583999695,-0.06235214343919704,-0.13900648737550636,-0.03786640050963508,-0.05007310722613345,-0.4172947513305273,-0.17572586018007408,-0.15682286172471194,-0.2421078692791081,0.07162541738388462,-0.034336182647053626,-0.0024793899014500242,0.06395857525889381,-0.00666271948705921,-0.03180477882672983,-0.0006890392279752522,0.12438964542714959,0.0034194973932550887,-0.04679367598209061,0.074260103613907,-0.016468481562677217,-0.05354610112793445,-0.10699066010817315,0.11436318439859727,-0.025164034782273803,-0.05350796175188466,0.06542129858772583,-0.04678344541944379,-0.034779739343245186,-0.05272143642391325,0.11407095402735368
DE119,-0.08789855036027294,-0.09137003923269527,-0.07950176748504523,0.01900757186370794,0.10365878524415018,-0.01817520042702636,0.04497360828580166,-0.027754173014811534,-0.44836785087632836,-0.13106107132321998,-0.08756600282035831,0.0032093891965516708,-0.04645905485709301,0.11888104450028592,0.11424984621985779,-0.030927784239891287,0.07394827421123651,0.07071650496540416,-0.32567774678219763,-0.07063357650716984,-0.022142015577513496,-0.1056768353644455,0.20889706383268614,0.11285958662406359,0.15134856946800612,0.2282872743301898,0.16873126526266247,0.1322000448347409,0.2170356224772425,0.3368621840724846,0.19776955856093292,0.1250290681051407,0.272466164945822,0.17988434132810727,0.1432244777213305,0.13601007789348807,0.3222880759361446,0.15219732437840117,0.1134856946800602,0.2671507983238792,0.11948952783639588,0.1402201406254957,0.1989139438055112,0.3286327406499081
DE11A,-0.19855435424001044,-0.1548964739833757,-0.15493334782675705,-0.07766730121691423,-0.03807108115338431,-0.12260583169373795,-0.10746554195263325,-0.16882521297084196,-0.47657669123346946,-0.17946887550770918,-0.17694160523004088,-0.11102289602029713,-0.1603380678146228,-0.11014894463351033,-0.03355046769964143,-0.11484883895824416,-0.018593512327055195,-0.019387299818756087,-0.3708240242378005,-0.1546863150799075,-0.13132303821574498,-0.2508802662695979,0.09317306952613214,0.00476454616340849,0.05270189537260883,0.14795452788970742,0.028523279437511206,-0.012196395341465438,0.07095997197162118,0.2169965422261031,0.0906190467995196,0.01977549955508273,0.14509568131234674,0.04884827717494766,-0.011133569268290788,0.020324954015941143,0.19249440272226015,0.05874861491902661,-0.003660168942508646,0.12855237567172617,-0.0030390128357565827,-0.008150197834818074,0.04908031882280817,0.19009963703864297
